ID,TYPE,SEQ,SEGMENT,ISEQ,GEOMETRY,REAL_TIMESTAMP,ACCURACY,USER_ID,UTM32,SLICE1M,SLICE2M,SLICE5M,SLICE15M,SLICE1H,SLICE2H,GRIDX,GRIDY,HIT,HIT2,SEG_DIST,SEG_DIST_COR,SEG_SEC,SEG_MOVE,SEG_SPEED,stay,lowspeed,walk,run,SEG_SPEED_COR,SEG_SPEED_MAX,HITA15,HITMA15
170820396,1,1700,337,9,0xE6100000010C524ABBF2BB252840EF208034B9CF4B40,2016-06-30 05:47:00.000,20,37657,0x787F0000010C00000000322A254100000080D1875741,6300547,6300546,6300545,6300545,6300500,6300400,287,710,22,NULL,11,0,604,0,0,1,0,0,0,0,0.018211920529,37,NULL
170820400,0,1701,337,10,0xE6100000010CB0BBE5A9BB252840ACB8D7ABB8CF4B40,2016-06-30 05:48:52.000,10,37657,0x787F0000010C748364E3312A2541AFCFA30BD1875741,6300548,6300548,6300545,6300545,6300500,6300400,288,710,22,NULL,11,0,604,0,0,1,0,0,0,0,0.018211920529,37,NULL
170870993,1,2836,462,5,0xE6100000010C1985446AE52D2840241DFD5A14CE4B40,2016-06-29 04:44:00.000,25,17775,0x787F0000010C00000000883225410000008077865741,6290444,6290444,6290440,6290430,6290400,6290400,394,571,7,NULL,19,0,452,0,0,1,0,0,0,0,0.04203539823,13,3
195156400,1,2280,508,10,0xE6100000010C3EB3C2CFF7282840283D43E898CE4B40,2016-07-02 05:23:00.000,10,3538,0x787F0000010C00000000A42D254100000040E1865741,7020523,7020522,7020520,7020515,7020500,7020400,332,613,12,NULL,18,0,901,0,0,1,0,0,0,0,0.019977802441,NULL,3
195156406,1,379,96,1,0xE6100000010C61B33500D02B2840C79199D53CCF4B40,2016-06-29 21:27:00.000,9,11437,0x787F0000010C000000002E3025410000004070875741,6292127,6292126,6292125,6292115,6292100,6292000,364,671,44,NULL,8,0,892,0,0,1,0,0,0,0,0.008968609865,NULL,2
195156421,1,672,82,20,0xE6100000010C2B5BF050A52028405C7E21A529CF4B40,2016-06-28 12:17:00.000,16,26769,0x787F0000010C000000007A252541000000C050875741,6281217,6281216,6281215,6281215,6281200,6281200,227,658,33,NULL,15,0,1354,0,0,1,0,0,0,0,0.011078286558,6,3
182765366,1,413,118,6,0xE6100000010C2AFA469DDE222840D83DBC9F75CF4B40,2016-06-29 03:49:00.000,37,28234,0x787F0000010C00000000862725410000004094875741,6290349,6290348,6290345,6290345,6290300,6290200,253,685,32,NULL,64,0,609,1,0,0,0,1,0,0,0.105090311986,3,3
195156685,1,2142,536,9,0xE6100000010C056B231D1A2D284012D4129C4DCF4B40,2016-06-28 21:54:00.000,10,30765,0x787F0000010C00000000663125410000004080875741,6282154,6282154,6282150,6282145,6282100,6282000,380,677,42,NULL,6,0,900,0,0,1,0,0,0,0,0.006666666666,17,3
195156711,1,2143,536,10,0xE6100000010CD45273051A2D284008A5CE504DCF4B40,2016-06-28 21:55:00.000,10,30765,0x787F0000010C00000000663125410000000080875741,6282155,6282154,6282155,6282145,6282100,6282000,380,677,42,NULL,6,0,900,0,0,1,0,0,0,0,0.006666666666,17,3
195156739,1,2144,536,11,0xE6100000010CD45273051A2D284008A5CE504DCF4B40,2016-06-28 21:56:00.000,10,30765,0x787F0000010C00000000663125410000000080875741,6282156,6282156,6282155,6282145,6282100,6282000,380,677,42,NULL,6,0,900,0,0,1,0,0,0,0,0.006666666666,17,3
195156764,1,2145,536,12,0xE6100000010C833BC3ED192D2840FC758A054DCF4B40,2016-06-28 21:57:00.000,10,30765,0x787F0000010C0000000066312541000000C07F875741,6282157,6282156,6282155,6282145,6282100,6282000,380,677,42,NULL,6,0,900,0,0,1,0,0,0,0,0.006666666666,17,3
205770580,1,3221,720,2,0xE6100000010C27422F248F272840A03317088DCF4B40,2016-07-02 16:38:00.000,5,429,0x787F0000010C00000000002C254100000080AE875741,7021638,7021638,7021635,7021630,7021600,7021600,311,696,20,1,6,0,790,0,0,1,0,0,0,0,0.007594936708,38,2
205770592,1,3222,720,3,0xE6100000010C84E923108D2728406B216E0B8DCF4B40,2016-07-02 16:39:00.000,6,429,0x787F0000010C00000000FE2B254100000080AE875741,7021639,7021638,7021635,7021630,7021600,7021600,310,696,20,1,6,0,790,0,0,1,0,0,0,0,0.007594936708,38,2
