ID,TYPE,SEQ,SEGMENT,ISEQ,GEOMETRY,REAL_TIMESTAMP,ACCURACY,USER_ID,UTM32,SLICE1M,SLICE2M,SLICE5M,SLICE15M,SLICE1H,SLICE2H,GRIDX,GRIDY,HIT,HIT2,SEG_DIST,SEG_DIST_COR,SEG_SEC,SEG_MOVE,SEG_SPEED,SEG_SPEED_MAX,SEG_SPEED_COR,stay,lowspeed,walk,run
138379217,1,2054,564,1,0xE6100000010C295912E4122B284000D6EE474BCF4B40,2015-07-03 16:14:00.000,77,26372,0x787F0000010C00000000742F2541000000807B875741,7031614,7031614,7031610,7031600,7031600,7031600,355,675,39,2,40,0,150,0,0,0.266666666666,0,0,1,0,0
138379229,1,2055,564,2,0xE6100000010C8244A96A312B28408656DC0649CF4B40,2015-07-03 16:15:00.000,44,26372,0x787F0000010C00000000922F2541000000C079875741,7031615,7031614,7031615,7031615,7031600,7031600,356,674,39,2,40,0,150,0,0,0.266666666666,0,0,1,0,0
138379231,0,2056,564,3,0xE6100000010C80F3E2C4572B28409411178046CF4B40,2015-07-03 16:16:13.000,5,26372,0x787F0000010CD572C399B72F254194CC8DCF77875741,7031616,7031616,7031615,7031615,7031600,7031600,359,674,NULL,2,40,0,150,0,0,0.266666666666,0,0,1,0,0
138379246,1,2057,565,1,0xE6100000010C35B19815562B284067CF797046CF4B40,2015-07-03 16:17:00.000,5,26372,0x787F0000010C00000000B62F2541000000C077875741,7031617,7031616,7031615,7031615,7031600,7031600,358,674,NULL,2,0,0,150,0,0,0,0,1,0,0,0
138379247,0,2058,565,2,0xE6100000010C80F3E2C4572B28409411178046CF4B40,2015-07-03 16:18:43.000,8,26372,0x787F0000010CD572C399B72F254194CC8DCF77875741,7031618,7031618,7031615,7031615,7031600,7031600,359,674,NULL,2,0,0,150,0,0,0,0,1,0,0,0
138379263,1,2059,566,1,0xE6100000010C35B19815562B284067CF797046CF4B40,2015-07-03 16:19:00.000,8,26372,0x787F0000010C00000000B62F2541000000C077875741,7031619,7031618,7031615,7031615,7031600,7031600,358,674,NULL,2,3,0,151,0,0,0.019867549668,0,1,0,0,0
138379283,1,2060,566,2,0xE6100000010C1444E830542B284063425B0A47CF4B40,2015-07-03 16:20:00.000,8,26372,0x787F0000010C00000000B42F25410000004078875741,7031620,7031620,7031620,7031615,7031600,7031600,358,674,NULL,2,3,0,151,0,0,0.019867549668,0,1,0,0,0
138379285,0,2061,566,3,0xE6100000010CDBA6785C542B2840A08B868C47CF4B40,2015-07-03 16:21:14.000,9,26372,0x787F0000010CAEEDC402B42F254178CDB2AE78875741,7031621,7031620,7031620,7031615,7031600,7031600,358,674,NULL,2,3,0,151,0,0,0.019867549668,0,1,0,0,0
138379303,1,2062,567,1,0xE6100000010CD1B9374C522B284082B43CA447CF4B40,2015-07-03 16:22:00.000,8,26372,0x787F0000010C00000000B22F2541000000C078875741,7031622,7031622,7031620,7031615,7031600,7031600,358,674,NULL,2,2,0,150,0,0,0.013333333333,0,1,0,0,0
138379306,0,2063,567,2,0xE6100000010C3C17467A512B28404640852348CF4B40,2015-07-03 16:23:44.000,8,26372,0x787F0000010CFB7F2610B12F2541E059E52A79875741,7031623,7031622,7031620,7031615,7031600,7031600,358,675,39,2,2,0,150,0,0,0.013333333333,0,1,0,0,0
138379319,1,2064,568,1,0xE6100000010CC9F5E063522B2840D6F380EF47CF4B40,2015-07-03 16:24:00.000,8,26372,0x787F0000010C00000000B22F25410000000079875741,7031624,7031624,7031620,7031615,7031600,7031600,358,674,NULL,2,6,0,150,0,0,0.04,0,1,0,0,0
68099858,1,7264,1427,9,0xE6100000010CABCD93E64B2928409459509687CE4B40,2015-07-04 13:57:00.000,21,13040,0x787F0000010C00000000FA2D254100000000D3865741,7041357,7041356,7041355,7041345,7041300,7041200,336,608,21,3,4,0,899,0,0,0.004449388209,0,1,0,0,0
107032497,1,3204,641,4,0xE6100000010C96309B73CB212840E36D935F3FCF4B40,2015-07-04 06:17:00.000,43,27060,0x787F0000010C000000008E262541000000C064875741,7040617,7040616,7040615,7040615,7040600,7040600,241,666,3,3,8,0,605,0,0,0.013223140495,0,1,0,0,0
138378930,1,807,166,1,0xE6100000010CB527A5CB3D2428404937FF3CDACE4B40,2015-06-29 09:17:00.000,77,35171,0x787F0000010C00000000062925410000004012875741,6290917,6290916,6290915,6290915,6290900,6290800,272,633,7,3,70,0,220,1,0,0.318181818181,0,0,0,1,0
138378941,1,808,166,2,0xE6100000010CE45FB25E65242840FA72F248DACE4B40,2015-06-29 09:18:00.000,182,35171,0x787F0000010C000000002C2925410000008012875741,6290918,6290918,6290915,6290915,6290900,6290800,274,633,7,3,70,0,220,1,0,0.318181818181,0,0,0,1,0
138378944,0,809,166,3,0xE6100000010C86E63A8DB4242840F08B4B55DACE4B40,2015-06-29 09:19:58.000,388,35171,0x787F0000010CAC19CA0B7829254170D941F612875741,6290919,6290918,6290915,6290915,6290900,6290800,279,634,7,3,70,0,220,1,0,0.318181818181,0,0,0,1,0
138378963,1,810,167,1,0xE6100000010CF86B4459B2242840E7F4E418DACE4B40,2015-06-29 09:20:00.000,386,35171,0x787F0000010C0000000076292541000000C012875741,6290920,6290920,6290920,6290915,6290900,6290800,278,633,7,3,70,0,603,1,0,0.116086235489,0,0,0,1,0
138378977,1,811,167,2,0xE6100000010C398FE5B5A32428403BA0F5E4D9CE4B40,2015-06-29 09:21:00.000,349,35171,0x787F0000010C00000000682925410000008012875741,6290921,6290920,6290920,6290915,6290900,6290800,277,633,7,3,70,0,603,1,0,0.116086235489,0,0,0,1,0
138378986,1,812,167,3,0xE6100000010CE865F10E97242840B5506C62D9CE4B40,2015-06-29 09:22:00.000,312,35171,0x787F0000010C000000005C2925410000000012875741,6290922,6290922,6290920,6290915,6290900,6290800,277,633,7,3,70,0,603,1,0,0.116086235489,0,0,0,1,0
138379000,1,813,167,4,0xE6100000010C754A936B882428401A937C2ED9CE4B40,2015-06-29 09:23:00.000,276,35171,0x787F0000010C000000004E292541000000C011875741,6290923,6290922,6290920,6290915,6290900,6290800,276,633,7,3,70,0,603,1,0,0.116086235489,0,0,0,1,0
138379017,1,814,167,5,0xE6100000010C4837A7B079242840511D48AFD8CE4B40,2015-06-29 09:24:00.000,239,35171,0x787F0000010C00000000402925410000004011875741,6290924,6290924,6290920,6290915,6290900,6290800,275,633,7,3,70,0,603,1,0,0.116086235489,0,0,0,1,0
138379027,1,815,167,6,0xE6100000010CFBDE490D6B242840D8EE577BD8CE4B40,2015-06-29 09:25:00.000,202,35171,0x787F0000010C00000000322925410000000011875741,6290925,6290924,6290925,6290915,6290900,6290800,275,633,7,3,70,0,603,1,0,0.116086235489,0,0,0,1,0
138379042,1,816,167,7,0xE6100000010C0ACCEC695C24284032886747D8CE4B40,2015-06-29 09:26:00.000,165,35171,0x787F0000010C0000000024292541000000C010875741,6290926,6290926,6290925,6290915,6290900,6290800,274,632,7,3,70,0,603,1,0,0.116086235489,0,0,0,1,0
138379057,1,817,167,8,0xE6100000010C8E66FBC24F242840E84ADDC4D7CE4B40,2015-06-29 09:27:00.000,128,35171,0x787F0000010C00000000182925410000004010875741,6290927,6290926,6290925,6290915,6290900,6290800,273,632,7,3,70,0,603,1,0,0.116086235489,0,0,0,1,0
138379081,1,818,167,9,0xE6100000010CEC149F1F41242840557BEC90D7CE4B40,2015-06-29 09:28:00.000,91,35171,0x787F0000010C000000000A2925410000000010875741,6290928,6290928,6290925,6290915,6290900,6290800,273,632,7,3,70,0,603,1,0,0.116086235489,0,0,0,1,0
